bidder_id,payment_account,address,outcome,trade_count,most_used_device,device_counts,most_used_country,country_counts,average_times,most_merchandise,merchandise_counts,most_used_ip,ip_counts,most_used_url,url_counts
aee383561c0019dc01552bfa5263af8etbuc7,296fa05acf2f73c8438562940d2b8204uhxbp,c0649afaeb5df1acbb856a732cd76424k9rq8,0.0,54.0,phone46,24.0,uk,24.0,-0.5674821508404942,jewelry,54.0,15.118.126.107,15.0,vasstdc27m7nks3,37.0
ec6d3fbd8408ba43891370d4ffe41eabhnwbs,a3d2de7675556553a5f08e4c88d2c228r5zgb,8e67687228a28858db3b899574989785c3yxw,0.0,10.0,phone58,10.0,de,8.0,1.2867736968858388,mobile,10.0,204.35.241.81,8.0,vasstdc27m7nks3,3.0
b5d61accc925a0e86ab7274e1ad82532gb1w6,a3d2de7675556553a5f08e4c88d2c228z3tuh,a3d2de7675556553a5f08e4c88d2c228b83tj,0.0,1.0,phone28,1.0,ar,1.0,0.08748116008341258,books and music,1.0,254.193.154.251,1.0,vasstdc27m7nks3,1.0
683833b860c003e6c31c521c9cdb49a1kr6b4,a3d2de7675556553a5f08e4c88d2c228jg51s,a3d2de7675556553a5f08e4c88d2c228i3bb3,0.0,1.0,phone65,1.0,cn,1.0,-1.2298175688271344,mobile,1.0,156.82.29.11,1.0,vasstdc27m7nks3,1.0
bc7722baf876d0735ddc885691eb687bgz365,a3d2de7675556553a5f08e4c88d2c228anxa0,d20c4c76e701af07f7d77db657e7ba70cq4w1,0.0,519.0,phone25,64.0,in,415.0,1.3159802230307625,home goods,519.0,50.201.125.84,9.0,vasstdc27m7nks3,253.0
7a3378ad9999b1fde0a4562a9b036f038cdal,a3d2de7675556553a5f08e4c88d2c228xb0m4,8b364fa601af02d98e6a142050de9a8fp5n4z,0.0,1278.1606425702812,phone4,170.14457831325302,in,504.3152610441767,0.29838293500740404,mobile,1278.1606425702812,213.225.77.188,51.036144578313255,vasstdc27m7nks3,552.4076305220883
b37b352197594dae96bb9219bf59d656oz79f,741f0cc2cc8fe65d86e65ce3c1ad9757hprgo,ad6673379b129d23eb72f94463cb9700w3hpt,0.0,12.0,phone63,2.0,ph,11.0,-0.2779070804277818,home goods,12.0,15.220.160.145,7.0,emp853331400wma,2.0
f19531503f1485a3014189a80971c6fb0d9fu,a3d2de7675556553a5f08e4c88d2c228i3f3h,062df1d5a5a7c8843b9cac0f5c3365b6nn7sk,0.0,171.0,phone4,24.0,in,72.0,1.3377316392978855,jewelry,171.0,22.136.132.3,5.0,vasstdc27m7nks3,70.0
0d1815382b08885d76c671ab600133adeyp5e,c2599464dacff6ab83518c48f33d094c5y2po,b8b1cd244af4e6dd6332f4e9bbdc20954q07c,0.0,3895.0,phone4,202.0,in,2716.0,1.3213814145558018,jewelry,3895.0,231.63.201.73,76.0,vasstdc27m7nks3,1031.0
6b531ceeec5892121e04dcc6f89b10a70yqoq,f39d032a3ab8b9a3b041b0a47723d180e7ocn,0d008b0255853c9ed85c42dbc2cf2378n1o1b,0.0,8765.0,phone4,2268.0,vn,7060.0,-0.7465566490272123,home goods,8765.0,48.186.219.240,218.0,vasstdc27m7nks3,4571.0
f8c42ccd10c3fe515e53082f0cde9a18oxgws,c9ef8f9c82a24602bca4f1fc4e69fd6184m98,a3d2de7675556553a5f08e4c88d2c228kyo8t,0.0,1753.0,phone4,280.0,gh,848.0,-1.1373738680713241,home goods,1753.0,13.31.35.207,215.0,vasstdc27m7nks3,627.0
4dd2a50e589cde2802c4bab143dea61ak517w,ed9f100e8c9f01555d156a0491f23bce3jhfj,a3d2de7675556553a5f08e4c88d2c228jm0mt,0.0,3.0,phone65,3.0,cn,3.0,-1.0775953454762515,mobile,3.0,118.204.117.124,1.0,vasstdc27m7nks3,3.0
cc064e3409a1825e3c4e5c814376f140qxu5l,ca04718005c79d67dc199a0ca6609afehd68x,0ea303c664e37f28f4fffe27534e2fea65j3q,0.0,4.0,phone1026,3.0,cn,3.0,-0.16649640031531204,sporting goods,4.0,100.143.245.139,2.0,vasstdc27m7nks3,3.0
57c4421263d37c2cd2573cd7245a7a80h0mjf,4f2efeb522beb53beb9a470fd1a756e76uipi,a3d2de7675556553a5f08e4c88d2c228n40cp,0.0,219.0,phone4,18.0,in,151.0,1.3158054194130508,mobile,219.0,0.119.34.181,5.0,vasstdc27m7nks3,64.0
322addd5687d99bf69306148e12f87dc5jbsh,a3d2de7675556553a5f08e4c88d2c228inzne,067b2b8d78e047310cd8e38f357e3e8f3dosj,0.0,39.0,phone4,16.0,id,35.0,1.3574465112698404,home goods,39.0,162.30.44.213,4.0,vasstdc27m7nks3,27.0
f35082c6d72f1f1be3dd23f949db1f577t6wd,a3d2de7675556553a5f08e4c88d2c228ca3ms,52aaef935c2b3aed6f3ae77bb2bc3513so5h1,1.0,1.0,phone55,1.0,id,1.0,1.4082493841685344,mobile,1.0,94.198.146.62,1.0,8dnl2a72zcebtol,1.0
2819b8b2295f272f33f8e76fd344ce6bywj1p,4b5734c256e2e797bd16e914414335dcbxyvk,a3d2de7675556553a5f08e4c88d2c228fyfpe,0.0,2.0,phone119,1.0,de,2.0,1.3079153886503567,sporting goods,2.0,6.130.86.227,1.0,vasstdc27m7nks3,2.0
b5a92183d20e5ca98da4065c874e0b9dezbhx,a3d2de7675556553a5f08e4c88d2c228tab3a,b9b03d5a127eb07aeb9163cdcf524e13hpmim,0.0,326.0,phone220,76.0,us,162.0,-0.4265680803514804,office equipment,326.0,46.8.223.169,18.0,vasstdc27m7nks3,84.0
24a32bf10c4a5d4d91c27da4710c869a0nqim,7be9fea7243e9d146e74a291a8f9abf1jwv2g,a3d2de7675556553a5f08e4c88d2c228cox7j,0.0,50.0,phone164,25.0,my,27.0,1.3988719545095558,mobile,50.0,97.72.163.73,19.0,vasstdc27m7nks3,7.0
4761b2fdb4ce610d1d8dd9ea50f478cf7et0f,c3b7b05e6f965949291e9ab7b68cfeca9jylr,58de3821ccf244c3ae779c4e61a12fd0iqsvb,0.0,2.0,phone20,1.0,in,2.0,1.3031371978933515,mobile,2.0,217.189.75.132,1.0,sytj1s2q47oa59p,1.0
81a6dd18d43cb3b1999176eea563b438roe7y,a3d2de7675556553a5f08e4c88d2c228nn8ut,fd4da97287d5803e65a93fff21b9afc1j983w,0.0,382.0,phone3,37.0,in,275.0,-0.1657468165682839,mobile,382.0,80.53.77.69,11.0,vasstdc27m7nks3,78.0
ff4e39c0be8af4b17a73dcb761e4bb6dmop0m,a3d2de7675556553a5f08e4c88d2c2286hsf2,a3d2de7675556553a5f08e4c88d2c228av2lr,0.0,7.0,phone28,4.0,th,4.0,-0.7639024877041997,books and music,7.0,166.60.128.116,1.0,zoqcaevjlrzre1e,6.0
7b22c9a323baf4a7bc7a3761e4a30bfajixmt,a3d2de7675556553a5f08e4c88d2c228lezqz,877a8e4d537794caef4f837bb26eed0cr46wy,0.0,54.0,phone4,12.0,my,22.0,-0.6651868694239039,jewelry,54.0,131.51.1.242,3.0,vasstdc27m7nks3,23.0
8c09f4afd78059d9200cddc435f5c48ceph11,a3d2de7675556553a5f08e4c88d2c2286i4r5,1aab5d798b10e638bee030397605c3c4r4wmw,0.0,1459.0,phone317,1111.0,id,1111.0,-0.012151420150284094,home goods,1459.0,206.36.68.213,359.0,gx28qkbsl02fxc6,803.0
737d19fdceb065359c77b81d27053c4e5quiq,a3d2de7675556553a5f08e4c88d2c2280pus8,c70d0d8a30a50246aa5ca09c70d33191bv0db,0.0,1.0,phone4,1.0,ng,1.0,0.09602623131560431,office equipment,1.0,50.89.70.133,1.0,vasstdc27m7nks3,1.0
c888cda1ef5931da0db90f6803cd0d368ay6r,9f70387509c6e21819ee46ec78689ee9qn26f,d5e5cc78b5eb2fee558cbbbf23e74ad4cades,0.0,424.0,phone17,55.0,in,398.0,-0.028213869693918293,mobile,424.0,218.150.42.198,7.0,h2sn2mpfc32zbli,135.0
45e4c7fe66077b5b7b338f19f476f9d85jlk0,a3d2de7675556553a5f08e4c88d2c228p84nx,50e2a8698c0dc061cf960729ed7de03c9bunw,0.0,5.0,phone142,1.0,cn,1.0,-0.39933597374957414,mobile,5.0,195.125.30.16,1.0,vasstdc27m7nks3,3.0
3893d2c62d59c232112efd332bc342dap8b4j,a3d2de7675556553a5f08e4c88d2c228hhw28,14da5cd6232222e9f999374636cf0687ju21o,0.0,17.0,phone38,4.0,in,13.0,1.3187788754510137,mobile,17.0,72.175.112.183,3.0,93v3ve8towj5b3d,14.0
16065749457a14b26998fefca503c3ecf9og8,a3d2de7675556553a5f08e4c88d2c22829czq,fb5f20b04f48113f484f73988d44a09amfrk9,0.0,18.0,phone119,3.0,de,6.0,1.2371421372998026,sporting goods,18.0,79.178.131.33,2.0,vasstdc27m7nks3,18.0
74582963d3774699f4215df7f2d17c1b6b4pn,a3d2de7675556553a5f08e4c88d2c228pawcs,aa4f04107b90843692d20a019695d702fw4of,0.0,8.0,phone102,1.0,in,5.0,-0.17505073354761827,mobile,8.0,101.188.184.228,1.0,rvm9ra719q0xh4u,2.0
cd856579a7c4850b60d8763520339449x0mqg,a3d2de7675556553a5f08e4c88d2c228dwtbw,2557b4e3cf4c90a55cb27515d0514920cpw48,0.0,2.0,phone4,1.0,bd,1.0,1.2846802846025955,home goods,2.0,112.229.97.240,1.0,lp0sot6k5unhvhe,1.0
bd8bd6cae40abb19b81b6b6a7775f63e5tk1s,10645c3dadae624f74757338a655c88fhiero,2c833c297952e03c0cf7ee9baef4d541sp52c,0.0,12.0,phone33,2.0,in,9.0,1.3390624937068758,mobile,12.0,0.101.134.218,1.0,wtwwqtsniyw9xhm,10.0
ed5ee107143980558fae26c1b5c7b81a82spj,cbb979c99dcfb9d6da0a237e97930f5c2ig76,21a8d4e86547247e4c769a0cf156c99139rl7,0.0,14.0,phone33,14.0,id,14.0,-0.8767672899129842,mobile,14.0,226.202.115.35,2.0,vasstdc27m7nks3,9.0
c755d2832026bc2a6f5d2d6df5740f06mr3nj,05cb55ed79a2808d456e5b3f7a0518fdtq5zv,7c678e357dfd74f2ee9252688467c8e48nfse,0.0,15.0,phone59,3.0,za,14.0,1.3405391902894102,office equipment,15.0,123.73.66.197,2.0,o8oeknwplrp8hf2,9.0
82ae4df0acf8237d7af1a790e3848645bp73e,0f7b42c9df2ef5acb157190977e8dd58gttw1,cf480cf92aaf9e071ec7c917afe33cc1soc6n,0.0,9.0,phone366,4.0,in,5.0,1.3035471735136221,mobile,9.0,226.152.203.67,2.0,y6wcxa99q6qqqaq,3.0
f939c17ffc7c39ac9b35b69e5e75179fv9pe2,a3d2de7675556553a5f08e4c88d2c2286s1m2,b9b03d5a127eb07aeb9163cdcf524e1344ac9,0.0,1.0,phone22,1.0,ua,1.0,0.16257745693651784,mobile,1.0,204.26.96.49,1.0,i4jeehlcim79jtu,1.0
e0df56a5ea8094d070b0130d7178a996noolv,7956adf5dbbb2019ba3c97bf40fec174zsxj6,cb8cab3337c5bc1bb96ccfb18d6a62f7esh8u,0.0,23.0,phone8,5.0,id,22.0,-0.47885420848415466,office equipment,23.0,103.4.194.14,1.0,vasstdc27m7nks3,4.0
86e50263881b0d382b55777185eb648aagh1g,57425cd7763f20d24b509ac1925f08e6z3cun,d7f04e93fb683991c8125508aba5b8a5lef3t,0.0,730.0,phone3,50.0,in,579.0,1.3234226378083591,sporting goods,730.0,210.159.251.193,22.0,vasstdc27m7nks3,283.0
efc61ad6db17265a4bac85f77b154ef414tpp,a3d2de7675556553a5f08e4c88d2c22850etl,a3d2de7675556553a5f08e4c88d2c228d6pnk,1.0,4.0,phone4,2.0,ph,3.0,1.3409749715664465,mobile,4.0,43.53.158.19,2.0,vasstdc27m7nks3,4.0
a8c2410eb81513da23261a49135e4eeacw6dw,a3d2de7675556553a5f08e4c88d2c228xazms,d204ba7ab87c1efb88e93a824efc926ag6330,0.0,1.0,phone3,1.0,cn,1.0,1.2247756705166926,mobile,1.0,179.222.144.158,1.0,0bjyuf7wwx1vtib,1.0
2d113999234e06201c0940286d405453wqjsw,a3d2de7675556553a5f08e4c88d2c2283x9no,552de72916db35365e9bbb53f40f40beia3ml,0.0,148.0,phone267,78.0,id,70.0,-0.5191102228177316,mobile,148.0,13.132.196.235,18.0,gr5fugj7phyl0p0,38.0
681b4f9dca9e70441fca4a58c05b0f50skmir,a3d2de7675556553a5f08e4c88d2c228cswim,a3d2de7675556553a5f08e4c88d2c2280ggly,0.0,2.0,phone720,2.0,ru,2.0,1.4220512662712608,books and music,2.0,138.93.226.153,1.0,vasstdc27m7nks3,2.0
d65efaa8129a85f85bf909e5abde8c3628gfv,2981750fbed3b561685afdf5f8bd484b499cn,a3d2de7675556553a5f08e4c88d2c2282r3s6,0.0,10272.0,phone4,1031.0,in,5624.0,-0.7966998657607468,jewelry,10272.0,111.171.187.246,167.0,vasstdc27m7nks3,3282.0
1e1c9332e90c1cb0f01da223bc043c528cvwo,265e5c1a73630867af7f38531b937605b51fc,3745707c137950f95bcba0a192923915eni6c,0.0,2.0,phone25,1.0,in,2.0,1.3489966146305439,mobile,2.0,29.148.247.171,1.0,bl9fbbcff0zckmx,2.0
1d4eaaacb6127c43c1c007331cac135bpib3m,59729beb4c26651e35eb31a62cf089b87gahu,a3d2de7675556553a5f08e4c88d2c2288n1px,0.0,29.0,phone26,3.0,in,15.0,1.379429630700394,mobile,29.0,156.247.227.130,2.0,vasstdc27m7nks3,10.0
f725c5b4cece8353da7a636fcba0ecb5yxshd,408c3402bf7ba25694d276ae0a49689czg0d7,4b3d192037da6b9b2b1230edc819d495s607c,0.0,282.0,phone4,174.0,id,279.0,-0.5150895934614679,jewelry,282.0,60.211.98.234,11.0,vasstdc27m7nks3,267.0
790c497536a2a9fe080c3b2ee6d5eeb9caiv8,a3d2de7675556553a5f08e4c88d2c2287h8ca,93d4e6ae896e363503fb5a5d06e52b448h1ag,0.0,4.0,phone154,1.0,in,3.0,-0.23148309889139237,jewelry,4.0,163.250.18.86,1.0,4frdke2qnnd0gse,1.0
ecce760edfc6ec5cd5ddc7037c514dc3zod4i,a3d2de7675556553a5f08e4c88d2c2282ohix,2a96c3ce94b3be921e0296097b88b56aqce9t,0.0,25.0,phone248,17.0,ph,10.0,1.3242811926416567,sporting goods,25.0,9.141.185.211,2.0,vasstdc27m7nks3,25.0
9dc039dc57fd67bd9e7157f4f697ae7eloov1,a3d2de7675556553a5f08e4c88d2c2281vjma,b10ea6565508176c2ba14ecb9af80992wg5px,0.0,896.0,phone22,52.0,tr,698.0,-0.5666595391589636,jewelry,896.0,67.59.156.153,27.0,vasstdc27m7nks3,231.0
54e279a4e162af7fc55d640aa62d0cbc9hxil,a3d2de7675556553a5f08e4c88d2c228e3oqf,468dd1460102da33213a29f0a6269841d3gsr,0.0,2441.0,phone4,294.0,in,1612.0,1.317706083579324,mobile,2441.0,213.225.77.188,100.0,vasstdc27m7nks3,986.0
