bidder_id,trade_count,most_used_device,device_counts,most_used_country,country_counts,average_times,most_merchandise,merchandise_counts,most_used_ip,ip_counts,most_used_url,url_counts
001068c415025a009fee375a12cff4fcnht8y,1,phone561,1,bn,1.0,0.18528087211333716,jewelry,1,139.226.147.115,1,vasstdc27m7nks3,1
0030a2dd87ad2733e0873062e4f83954mkj86,1,phone313,1,ir,1.0,0.15120572340191474,mobile,1,21.67.17.162,1,vnw40k8zzokijsv,1
00a0517965f18610417ee784a05f494d4dw6e,141,phone3,10,in,83.0,-0.01655713837889672,books and music,141,160.15.194.11,4,vasstdc27m7nks3,19
00cc97158e6f4cb8eac3c0075918b7ffi5k8o,3,phone106,1,id,2.0,-0.706261234663283,office equipment,3,145.31.36.19,1,vasstdc27m7nks3,3
01067975436d123f717ee5aba0dd4bbfa0937,543,phone19,29,in,123.0,1.308977449769166,jewelry,543,201.86.59.176,16,vasstdc27m7nks3,531
012441119bcf83b23d4768bb72cea6d6carua,23,phone4,3,in,10.0,1.3188139439045734,mobile,23,230.205.7.164,3,b6awg8438upbh6x,14
01255c2c7c5578c186873422fc00fd7afwk8k,65,phone4,9,in,52.0,1.3199449437075785,jewelry,65,207.102.250.82,3,vasstdc27m7nks3,29
01349288df20199905e719f0ff7ee771nwryj,70,phone4,16,in,65.0,1.2930642184893475,mobile,70,48.194.103.62,4,vasstdc27m7nks3,30
0141844fc725a85e38e12cc02fcdbbe8ofqxv,18,phone33,4,bd,6.0,1.3058926012039302,mobile,18,160.147.101.105,2,vasstdc27m7nks3,12
0181b91f58e6cbaa832235e2879c9c00ovrzi,15,phone23,6,in,12.0,1.3383346006283294,mobile,15,87.139.200.185,2,vasstdc27m7nks3,7
01a39439e7afbdcfe385eedbddb23d76zgdrg,260,phone4,45,in,143.0,-0.41227851169285124,mobile,260,203.57.59.176,6,vasstdc27m7nks3,145
01c1c7be49cd6cfbb9075925a05c9899p41va,2,phone212,1,my,1.0,1.3868811989527852,sporting goods,2,202.188.174.22,1,vasstdc27m7nks3,2
01c5692d487454cdbe731df330bef608f48zz,82,phone4,22,bd,77.0,-0.5844383853927528,books and music,82,57.101.190.69,25,vasstdc27m7nks3,46
01cda526658455000913950f20cf31a2q6nsf,84,phone31,12,za,71.0,1.3291492093033956,home goods,84,149.247.222.82,22,vasstdc27m7nks3,43
01eb9dcbd0b3e79d94020d13d83a993ec9d2a,3,phone101,1,in,2.0,1.2961107609126297,mobile,3,202.15.43.1,1,vasstdc27m7nks3,2
01f498a0992d280de63ec346692efb2blckg2,1,phone457,1,in,1.0,0.2396563224607979,jewelry,1,7.123.42.157,1,6aw2f4acgfy6qf1,1
02030ec48b7179a7fd9950fdf546e3feekkye,5,phone80,4,za,5.0,1.426584139187613,sporting goods,5,204.95.237.35,2,jdubys7v2u2u1st,2
022ac3a7ce986049d9a4bede83ccf9ddctvg6,1899,phone220,260,us,1187.0,0.10883935157162285,home goods,1899,52.23.255.65,340,rmdm1f1lak48s6g,1324
024937af9ea18a2b57e4f08762d181f7s8a3z,1,phone65,1,in,1.0,-1.2256401564553623,mobile,1,184.14.70.42,1,v7wcr0aiqyl7s7r,1
024cf43497fd7381df6254888670f84bwbbam,3,phone25,1,in,2.0,1.2742784743943512,mobile,3,220.216.170.202,1,637oms6h78uib79,3
026819504b59bc4eefb9963d5fe4271aql15u,4,phone5,4,id,4.0,-0.1675685394085652,home goods,4,238.24.105.222,2,x4qais3cw6intr9,3
02cfc97e8fded77671e71e1951723d5fwz6a4,2,phone65,2,cn,2.0,1.3085947688742567,mobile,2,168.239.61.212,1,vasstdc27m7nks3,2
0318e0a173f7c65db40116b903884c854x258,10960,phone82,761,ru,1466.0,-0.7866840421809578,sporting goods,10960,13.31.35.207,98,vasstdc27m7nks3,8226
031da7aea2d4b75ac8ecba4825bc1318yki1d,9,phone8,2,id,7.0,1.283562725550868,office equipment,9,29.38.1.189,2,vasstdc27m7nks3,2
03244a553a252dcc3a3037f0371c8d33fmpd1,3,phone23,1,in,2.0,-1.2224813972122706,jewelry,3,196.44.47.30,1,d1v8jbfxawip13i,1
0353aa9e97bd46119c90b8892f99982esfem3,174,phone4,34,id,135.0,-0.22830503877948938,jewelry,174,101.144.165.148,14,vasstdc27m7nks3,67
036a4050a5dd65e70f0f613ec2e38a74re026,2,phone115,1,in,2.0,-1.1588040617501416,sporting goods,2,120.50.143.125,1,b3yqvaxlz59vlne,1
037d9f10da403d8d5f94b6e2957a3702f6x07,12901,phone4,877,th,3883.0,1.321430325302098,home goods,12901,86.200.121.249,1604,vasstdc27m7nks3,2533
